season,match_date,home_team,away_team,competition,venue,home_score,away_score
2003-2004,Sunday 21 September 2003,Man Utd,Arsenal,Premier League,"Old Trafford, Manchester",0,0
2003-2004,Saturday 20 September 2003,Aston Villa,Charlton,Premier League,"Villa Park, Birmingham",2,1
2003-2004,Saturday 20 September 2003,Liverpool,Leicester,Premier League,"Anfield, Liverpool",2,1
2003-2004,Saturday 20 September 2003,Newcastle,Bolton,Premier League,"Sports Direct Arena, Newcastle",0,0
2003-2004,Saturday 20 September 2003,Portsmouth,Blackburn,Premier League,"Fratton Park, Portsmouth",1,2
2003-2004,Saturday 20 September 2003,Wolves,Chelsea,Premier League,"Molineux, Wolverhampton",0,5
2003-2004,Saturday 20 September 2003,Fulham,Man City,Premier League,"Loftus Road, London",2,2
2003-2004,Saturday 20 September 2003,Leeds,Birmingham,Premier League,"Elland Road, Leeds",0,2
2003-2004,Saturday 20 September 2003,Spurs,Southampton,Premier League,"White Hart Lane, London",1,3
2003-2004,Monday 15 September 2003,Leicester,Leeds,Premier League,"King Power Stadium, Leicester",4,0
2003-2004,Sunday 14 September 2003,Man City,Aston Villa,Premier League,"Etihad Stadium, Manchester",4,1
2003-2004,Sunday 14 September 2003,Birmingham,Fulham,Premier League,"St Andrews, Birmingham",2,2
2003-2004,Saturday 13 September 2003,Arsenal,Portsmouth,Premier League,"Highbury, London",1,1
2003-2004,Saturday 13 September 2003,Blackburn,Liverpool,Premier League,"Ewood Park, Blackburn",1,3
2003-2004,Saturday 13 September 2003,Bolton,Middlesbrough,Premier League,"Macron Stadium, Bolton",2,0
2003-2004,Saturday 13 September 2003,Chelsea,Spurs,Premier League,"Stamford Bridge, London",4,2
2003-2004,Saturday 13 September 2003,Southampton,Wolves,Premier League,"The Friends Provident St Mary's Stadium, Southampton",2,0
2003-2004,Saturday 13 September 2003,Charlton,Man Utd,Premier League,"The Valley, London",0,2
2003-2004,Saturday 13 September 2003,Everton,Newcastle,Premier League,"Goodison Park, Liverpool",2,2
2003-2004,Sunday 31 August 2003,Southampton,Man Utd,Premier League,"The Friends Provident St Mary's Stadium, Southampton",1,0
2003-2004,Sunday 31 August 2003,Man City,Arsenal,Premier League,"Etihad Stadium, Manchester",1,2
2003-2004,Saturday 30 August 2003,Everton,Liverpool,Premier League,"Goodison Park, Liverpool",0,3
2003-2004,Saturday 30 August 2003,Aston Villa,Leicester,Premier League,"Villa Park, Birmingham",3,1
2003-2004,Saturday 30 August 2003,Bolton,Charlton,Premier League,"Macron Stadium, Bolton",0,0
2003-2004,Saturday 30 August 2003,Chelsea,Blackburn,Premier League,"Stamford Bridge, London",2,2
2003-2004,Saturday 30 August 2003,Middlesbrough,Leeds,Premier League,"Riverside Stadium, Middlesbrough",2,3
2003-2004,Saturday 30 August 2003,Newcastle,Birmingham,Premier League,"Sports Direct Arena, Newcastle",0,1
2003-2004,Saturday 30 August 2003,Spurs,Fulham,Premier League,"White Hart Lane, London",0,3
2003-2004,Saturday 30 August 2003,Wolves,Portsmouth,Premier League,"Molineux, Wolverhampton",0,0
2003-2004,Wednesday 27 August 2003,Arsenal,Aston Villa,Premier League,"Highbury, London",2,0
2003-2004,Wednesday 27 August 2003,Liverpool,Spurs,Premier League,"Anfield, Liverpool",0,0
2003-2004,Wednesday 27 August 2003,Man Utd,Wolves,Premier League,"Old Trafford, Manchester",1,0
2003-2004,Tuesday 26 August 2003,Leeds,Southampton,Premier League,"Elland Road, Leeds",0,0
2003-2004,Tuesday 26 August 2003,Leicester,Middlesbrough,Premier League,"King Power Stadium, Leicester",0,0
2003-2004,Tuesday 26 August 2003,Portsmouth,Bolton,Premier League,"Fratton Park, Portsmouth",4,0
2003-2004,Tuesday 26 August 2003,Charlton,Everton,Premier League,"The Valley, London",2,2
2003-2004,Monday 25 August 2003,Blackburn,Man City,Premier League,"Ewood Park, Blackburn",2,3
2003-2004,Sunday 24 August 2003,Aston Villa,Liverpool,Premier League,"Villa Park, Birmingham",0,0
2003-2004,Sunday 24 August 2003,Middlesbrough,Arsenal,Premier League,"Riverside Stadium, Middlesbrough",0,4
2003-2004,Saturday 23 August 2003,Newcastle,Man Utd,Premier League,"Sports Direct Arena, Newcastle",1,2
2003-2004,Saturday 23 August 2003,Bolton,Blackburn,Premier League,"Macron Stadium, Bolton",2,2
2003-2004,Saturday 23 August 2003,Chelsea,Leicester,Premier League,"Stamford Bridge, London",2,1
2003-2004,Saturday 23 August 2003,Everton,Fulham,Premier League,"Goodison Park, Liverpool",3,1
2003-2004,Saturday 23 August 2003,Man City,Portsmouth,Premier League,"Etihad Stadium, Manchester",1,1
2003-2004,Saturday 23 August 2003,Southampton,Birmingham,Premier League,"The Friends Provident St Mary's Stadium, Southampton",0,0
2003-2004,Saturday 23 August 2003,Spurs,Leeds,Premier League,"White Hart Lane, London",2,1
2003-2004,Saturday 23 August 2003,Wolves,Charlton,Premier League,"Molineux, Wolverhampton",0,4
2003-2004,Sunday 17 August 2003,Charlton,Man City,Premier League,"The Valley, London",0,3
2003-2004,Sunday 17 August 2003,Leeds,Newcastle,Premier League,"Elland Road, Leeds",2,2
2003-2004,Sunday 17 August 2003,Liverpool,Chelsea,Premier League,"Anfield, Liverpool",1,2
2003-2004,Saturday 16 August 2003,Birmingham,Spurs,Premier League,"St Andrews, Birmingham",1,0
2003-2004,Saturday 16 August 2003,Portsmouth,Aston Villa,Premier League,"Fratton Park, Portsmouth",2,1
2003-2004,Saturday 16 August 2003,Arsenal,Everton,Premier League,"Highbury, London",2,1
2003-2004,Saturday 16 August 2003,Blackburn,Wolves,Premier League,"Ewood Park, Blackburn",5,1
2003-2004,Saturday 16 August 2003,Fulham,Middlesbrough,Premier League,"Loftus Road, London",3,2
2003-2004,Saturday 16 August 2003,Leicester,Southampton,Premier League,"King Power Stadium, Leicester",2,2
2003-2004,Saturday 16 August 2003,Man Utd,Bolton,Premier League,"Old Trafford, Manchester",4,0
2004-2005,Sunday 15 May 2005,Birmingham,Arsenal,Premier League,"St Andrews, Birmingham",2,1
2004-2005,Sunday 15 May 2005,Bolton,Everton,Premier League,"Macron Stadium, Bolton",3,2
2004-2005,Sunday 15 May 2005,Charlton,Crystal Palace,Premier League,"The Valley, London",2,2
2004-2005,Sunday 15 May 2005,Fulham,Norwich,Premier League,"Craven Cottage, London",6,0
2004-2005,Sunday 15 May 2005,Liverpool,Aston Villa,Premier League,"Anfield, Liverpool",2,1
2004-2005,Sunday 15 May 2005,Man City,Middlesbrough,Premier League,"Etihad Stadium, Manchester",1,1
2004-2005,Sunday 15 May 2005,Newcastle,Chelsea,Premier League,"Sports Direct Arena, Newcastle",1,1
2004-2005,Sunday 15 May 2005,Southampton,Man Utd,Premier League,"The Friends Provident St Mary's Stadium, Southampton",1,2
2004-2005,Sunday 15 May 2005,Spurs,Blackburn,Premier League,"White Hart Lane, London",0,0
2004-2005,Sunday 15 May 2005,West Brom,Portsmouth,Premier League,"The Hawthorns, West Bromwich",2,0
2004-2005,Wednesday 11 May 2005,Arsenal,Everton,Premier League,"Highbury, London",7,0
2004-2005,Tuesday 10 May 2005,Man Utd,Chelsea,Premier League,"Old Trafford, Manchester",1,3
2004-2005,Sunday 8 May 2005,Arsenal,Liverpool,Premier League,"Highbury, London",3,1
2004-2005,Saturday 7 May 2005,Aston Villa,Man City,Premier League,"Villa Park, Birmingham",1,2
2004-2005,Saturday 7 May 2005,Blackburn,Fulham,Premier League,"Ewood Park, Blackburn",1,3
2004-2005,Saturday 7 May 2005,Crystal Palace,Southampton,Premier League,"Selhurst Park, London",2,2
2004-2005,Saturday 7 May 2005,Everton,Newcastle,Premier League,"Goodison Park, Liverpool",2,0
2004-2005,Saturday 7 May 2005,Middlesbrough,Spurs,Premier League,"Riverside Stadium, Middlesbrough",1,0
2004-2005,Saturday 7 May 2005,Norwich,Birmingham,Premier League,"Carrow Road, Norwich",1,0
2004-2005,Saturday 7 May 2005,Man Utd,West Brom,Premier League,"Old Trafford, Manchester",1,1
2004-2005,Saturday 7 May 2005,Chelsea,Charlton,Premier League,"Stamford Bridge, London",1,0
2004-2005,Saturday 7 May 2005,Portsmouth,Bolton,Premier League,"Fratton Park, Portsmouth",1,1
2004-2005,Wednesday 4 May 2005,Fulham,Newcastle,Premier League,"Craven Cottage, London",1,3
2004-2005,Monday 2 May 2005,West Brom,Arsenal,Premier League,"The Hawthorns, West Bromwich",0,2
2004-2005,Sunday 1 May 2005,Spurs,Aston Villa,Premier League,"White Hart Lane, London",5,1
2004-2005,Sunday 1 May 2005,Charlton,Man Utd,Premier League,"The Valley, London",0,4
2004-2005,Saturday 30 April 2005,Birmingham,Blackburn,Premier League,"St Andrews, Birmingham",2,1
2004-2005,Saturday 30 April 2005,Fulham,Everton,Premier League,"Craven Cottage, London",2,0
2004-2005,Saturday 30 April 2005,Liverpool,Middlesbrough,Premier League,"Anfield, Liverpool",1,1
2004-2005,Saturday 30 April 2005,Man City,Portsmouth,Premier League,"Etihad Stadium, Manchester",2,0
2004-2005,Saturday 30 April 2005,Newcastle,Crystal Palace,Premier League,"Sports Direct Arena, Newcastle",0,0
2004-2005,Saturday 30 April 2005,Southampton,Norwich,Premier League,"The Friends Provident St Mary's Stadium, Southampton",4,3
2004-2005,Saturday 30 April 2005,Bolton,Chelsea,Premier League,"Macron Stadium, Bolton",0,2
2004-2005,Wednesday 27 April 2005,Newcastle,Middlesbrough,Premier League,"Sports Direct Arena, Newcastle",0,0
2004-2005,Tuesday 26 April 2005,West Brom,Blackburn,Premier League,"The Hawthorns, West Bromwich",1,1
2004-2005,Monday 25 April 2005,Arsenal,Spurs,Premier League,"Highbury, London",1,0
2004-2005,Sunday 24 April 2005,Portsmouth,Southampton,Premier League,"Fratton Park, Portsmouth",4,1
2004-2005,Sunday 24 April 2005,Man Utd,Newcastle,Premier League,"Old Trafford, Manchester",2,1
2004-2005,Saturday 23 April 2005,Aston Villa,Bolton,Premier League,"Villa Park, Birmingham",1,1
2004-2005,Saturday 23 April 2005,Blackburn,Man City,Premier League,"Ewood Park, Blackburn",0,0
2004-2005,Saturday 23 April 2005,Everton,Birmingham,Premier League,"Goodison Park, Liverpool",1,1
2004-2005,Saturday 23 April 2005,Chelsea,Fulham,Premier League,"Stamford Bridge, London",3,1
2004-2005,Saturday 23 April 2005,Crystal Palace,Liverpool,Premier League,"Selhurst Park, London",1,0
2004-2005,Saturday 23 April 2005,Middlesbrough,West Brom,Premier League,"Riverside Stadium, Middlesbrough",4,0
2004-2005,Saturday 23 April 2005,Norwich,Charlton,Premier League,"Carrow Road, Norwich",1,0
2004-2005,Wednesday 20 April 2005,Aston Villa,Charlton,Premier League,"Villa Park, Birmingham",0,0
2004-2005,Wednesday 20 April 2005,Man City,Birmingham,Premier League,"Etihad Stadium, Manchester",3,0
2004-2005,Wednesday 20 April 2005,Norwich,Newcastle,Premier League,"Carrow Road, Norwich",2,1
2004-2005,Wednesday 20 April 2005,Portsmouth,Liverpool,Premier League,"Fratton Park, Portsmouth",1,2
2004-2005,Wednesday 20 April 2005,Spurs,West Brom,Premier League,"White Hart Lane, London",1,1
2004-2005,Wednesday 20 April 2005,Blackburn,Crystal Palace,Premier League,"Ewood Park, Blackburn",1,0
2004-2005,Wednesday 20 April 2005,Chelsea,Arsenal,Premier League,"Stamford Bridge, London",0,0
2004-2005,Wednesday 20 April 2005,Everton,Man Utd,Premier League,"Goodison Park, Liverpool",1,0
2004-2005,Tuesday 19 April 2005,Bolton,Southampton,Premier League,"Macron Stadium, Bolton",1,1
2004-2005,Tuesday 19 April 2005,Middlesbrough,Fulham,Premier League,"Riverside Stadium, Middlesbrough",1,1
2004-2005,Saturday 16 April 2005,Charlton,Bolton,Premier League,"The Valley, London",1,2
2004-2005,Saturday 16 April 2005,Crystal Palace,Norwich,Premier League,"Selhurst Park, London",3,3
2004-2005,Saturday 16 April 2005,Fulham,Man City,Premier League,"Craven Cottage, London",1,1
2004-2005,Saturday 16 April 2005,Liverpool,Spurs,Premier League,"Anfield, Liverpool",2,2
2004-2005,Saturday 16 April 2005,Birmingham,Portsmouth,Premier League,"St Andrews, Birmingham",0,0
2004-2005,Saturday 16 April 2005,Southampton,Aston Villa,Premier League,"The Friends Provident St Mary's Stadium, Southampton",2,3
2004-2005,Sunday 10 April 2005,Aston Villa,West Brom,Premier League,"Villa Park, Birmingham",1,1
2004-2005,Sunday 10 April 2005,Everton,Crystal Palace,Premier League,"Goodison Park, Liverpool",4,0
2004-2005,Sunday 10 April 2005,Spurs,Newcastle,Premier League,"White Hart Lane, London",1,0
2004-2005,Saturday 9 April 2005,Blackburn,Southampton,Premier League,"Ewood Park, Blackburn",3,0
2004-2005,Saturday 9 April 2005,Bolton,Fulham,Premier League,"Macron Stadium, Bolton",3,1
2004-2005,Saturday 9 April 2005,Chelsea,Birmingham,Premier League,"Stamford Bridge, London",1,1
2004-2005,Saturday 9 April 2005,Man City,Liverpool,Premier League,"Etihad Stadium, Manchester",1,0
2004-2005,Saturday 9 April 2005,Middlesbrough,Arsenal,Premier League,"Riverside Stadium, Middlesbrough",0,1
2004-2005,Saturday 9 April 2005,Portsmouth,Charlton,Premier League,"Fratton Park, Portsmouth",4,2
2004-2005,Saturday 9 April 2005,Norwich,Man Utd,Premier League,"Carrow Road, Norwich",2,0
2004-2005,Sunday 3 April 2005,Fulham,Portsmouth,Premier League,"Craven Cottage, London",3,1
2004-2005,Sunday 3 April 2005,West Brom,Everton,Premier League,"The Hawthorns, West Bromwich",1,0
2004-2005,Saturday 2 April 2005,Arsenal,Norwich,Premier League,"Highbury, London",4,1
2004-2005,Saturday 2 April 2005,Birmingham,Spurs,Premier League,"St Andrews, Birmingham",1,1
2004-2005,Saturday 2 April 2005,Crystal Palace,Middlesbrough,Premier League,"Selhurst Park, London",0,1
2004-2005,Saturday 2 April 2005,Liverpool,Bolton,Premier League,"Anfield, Liverpool",1,0
2004-2005,Saturday 2 April 2005,Man Utd,Blackburn,Premier League,"Old Trafford, Manchester",0,0
2004-2005,Saturday 2 April 2005,Newcastle,Aston Villa,Premier League,"Sports Direct Arena, Newcastle",0,3
2004-2005,Saturday 2 April 2005,Southampton,Chelsea,Premier League,"The Friends Provident St Mary's Stadium, Southampton",1,3
2004-2005,Saturday 2 April 2005,Charlton,Man City,Premier League,"The Valley, London",2,2
2004-2005,Sunday 20 March 2005,Birmingham,Aston Villa,Premier League,"St Andrews, Birmingham",2,0
2004-2005,Sunday 20 March 2005,Middlesbrough,Southampton,Premier League,"Riverside Stadium, Middlesbrough",1,3
2004-2005,Sunday 20 March 2005,Liverpool,Everton,Premier League,"Anfield, Liverpool",2,1
2004-2005,Saturday 19 March 2005,Blackburn,Arsenal,Premier League,"Ewood Park, Blackburn",0,1
2004-2005,Saturday 19 March 2005,Charlton,West Brom,Premier League,"The Valley, London",1,4
2004-2005,Saturday 19 March 2005,Chelsea,Crystal Palace,Premier League,"Stamford Bridge, London",4,1
2004-2005,Saturday 19 March 2005,Man Utd,Fulham,Premier League,"Old Trafford, Manchester",1,0
2004-2005,Saturday 19 March 2005,Portsmouth,Newcastle,Premier League,"Fratton Park, Portsmouth",1,1
2004-2005,Saturday 19 March 2005,Spurs,Man City,Premier League,"White Hart Lane, London",2,1
2004-2005,Saturday 19 March 2005,Bolton,Norwich,Premier League,"Macron Stadium, Bolton",1,0
2004-2005,Wednesday 16 March 2005,Charlton,Spurs,Premier League,"The Valley, London",2,0
2004-2005,Wednesday 16 March 2005,Liverpool,Blackburn,Premier League,"Anfield, Liverpool",0,0
2004-2005,Tuesday 15 March 2005,Chelsea,West Brom,Premier League,"Stamford Bridge, London",1,0
2004-2005,Monday 7 March 2005,Man City,Bolton,Premier League,"Etihad Stadium, Manchester",0,1
2004-2005,Sunday 6 March 2005,West Brom,Birmingham,Premier League,"The Hawthorns, West Bromwich",2,0
2004-2005,Sunday 6 March 2005,Everton,Blackburn,Premier League,"Goodison Park, Liverpool",0,1
2004-2005,Saturday 5 March 2005,Arsenal,Portsmouth,Premier League,"Highbury, London",3,0
2004-2005,Saturday 5 March 2005,Crystal Palace,Man Utd,Premier League,"Selhurst Park, London",0,0
2004-2005,Saturday 5 March 2005,Norwich,Chelsea,Premier League,"Carrow Road, Norwich",1,3
2004-2005,Saturday 5 March 2005,Aston Villa,Middlesbrough,Premier League,"Villa Park, Birmingham",2,0
2004-2005,Saturday 5 March 2005,Fulham,Charlton,Premier League,"Craven Cottage, London",0,0
2004-2005,Saturday 5 March 2005,Newcastle,Liverpool,Premier League,"Sports Direct Arena, Newcastle",1,0
2004-2005,Saturday 5 March 2005,Southampton,Spurs,Premier League,"The Friends Provident St Mary's Stadium, Southampton",1,0
2004-2005,Monday 28 February 2005,Norwich,Man City,Premier League,"Carrow Road, Norwich",2,3
2004-2005,Sunday 27 February 2005,Newcastle,Bolton,Premier League,"Sports Direct Arena, Newcastle",2,1
2004-2005,Sunday 27 February 2005,Middlesbrough,Charlton,Premier League,"Riverside Stadium, Middlesbrough",2,2
2004-2005,Saturday 26 February 2005,Southampton,Arsenal,Premier League,"The Friends Provident St Mary's Stadium, Southampton",1,1
2004-2005,Saturday 26 February 2005,Aston Villa,Everton,Premier League,"Villa Park, Birmingham",1,3
2004-2005,Saturday 26 February 2005,Crystal Palace,Birmingham,Premier League,"Selhurst Park, London",2,0
2004-2005,Saturday 26 February 2005,Spurs,Fulham,Premier League,"White Hart Lane, London",2,0
2004-2005,Saturday 26 February 2005,Man Utd,Portsmouth,Premier League,"Old Trafford, Manchester",2,1
2004-2005,Tuesday 22 February 2005,West Brom,Southampton,Premier League,"The Hawthorns, West Bromwich",0,0
2004-2005,Monday 14 February 2005,Arsenal,Crystal Palace,Premier League,"Highbury, London",5,1
2004-2005,Sunday 13 February 2005,Man City,Man Utd,Premier League,"Etihad Stadium, Manchester",0,2
2004-2005,Saturday 12 February 2005,Everton,Chelsea,Premier League,"Goodison Park, Liverpool",0,1
2004-2005,Saturday 12 February 2005,Birmingham,Liverpool,Premier League,"St Andrews, Birmingham",2,0
2004-2005,Saturday 12 February 2005,Blackburn,Norwich,Premier League,"Ewood Park, Blackburn",3,0
2004-2005,Saturday 12 February 2005,Portsmouth,Aston Villa,Premier League,"Fratton Park, Portsmouth",1,2
2004-2005,Saturday 12 February 2005,Bolton,Middlesbrough,Premier League,"Macron Stadium, Bolton",0,0
2004-2005,Sunday 6 February 2005,Southampton,Everton,Premier League,"The Friends Provident St Mary's Stadium, Southampton",2,2
2004-2005,Sunday 6 February 2005,Chelsea,Man City,Premier League,"Stamford Bridge, London",0,0
2004-2005,Saturday 5 February 2005,Crystal Palace,Bolton,Premier League,"Selhurst Park, London",0,1
2004-2005,Saturday 5 February 2005,Liverpool,Fulham,Premier League,"Anfield, Liverpool",3,1
2004-2005,Saturday 5 February 2005,Man Utd,Birmingham,Premier League,"Old Trafford, Manchester",2,0
2004-2005,Saturday 5 February 2005,Middlesbrough,Blackburn,Premier League,"Riverside Stadium, Middlesbrough",1,0
2004-2005,Saturday 5 February 2005,Newcastle,Charlton,Premier League,"Sports Direct Arena, Newcastle",1,1
2004-2005,Saturday 5 February 2005,Norwich,West Brom,Premier League,"Carrow Road, Norwich",3,2
2004-2005,Saturday 5 February 2005,Spurs,Portsmouth,Premier League,"White Hart Lane, London",3,1
2004-2005,Saturday 5 February 2005,Aston Villa,Arsenal,Premier League,"Villa Park, Birmingham",1,3
